x,y,z,scl1
0.88749999,0.037500001,-0.1875,1.0
0.91250002,0.037500001,-0.1875,1.0
0.9375,0.037500001,-0.1875,1.0
1.0625,0.037500001,-0.1875,1.0
1.0875001,0.037500001,-0.1875,1.0
0.78750002,0.0625,-0.1875,1.0
0.8125,0.0625,-0.1875,1.0
0.83749998,0.0625,-0.1875,1.0
0.86250001,0.0625,-0.1875,1.0
0.88749999,0.0625,-0.1875,1.0
0.91250002,0.0625,-0.1875,1.0
0.9375,0.0625,-0.1875,1.0
0.96249998,0.0625,-0.1875,1.0
0.98750001,0.0625,-0.1875,1.0
1.0125,0.0625,-0.1875,1.0
1.0374999,0.0625,-0.1875,1.0
1.0625,0.0625,-0.1875,1.0
1.0875001,0.0625,-0.1875,1.0
1.1125,0.0625,-0.1875,1.0
1.1375,0.0625,-0.1875,1.0
1.1624999,0.0625,-0.1875,1.0
1.1875,0.0625,-0.1875,1.0
1.2125001,0.0625,-0.1875,1.0
1.2375,0.0625,-0.1875,1.0
1.2625,0.0625,-0.1875,1.0
1.2874999,0.0625,-0.1875,1.0
1.3125,0.0625,-0.1875,1.0
1.3375001,0.0625,-0.1875,1.0
1.3625,0.0625,-0.1875,1.0
1.3875,0.0625,-0.1875,1.0
1.4124999,0.0625,-0.1875,1.0
0.73750001,0.087500006,-0.1875,1.0
0.76249999,0.087500006,-0.1875,1.0
0.78750002,0.087500006,-0.1875,1.0
0.8125,0.087500006,-0.1875,1.0
0.83749998,0.087500006,-0.1875,1.0
0.86250001,0.087500006,-0.1875,1.0
0.88749999,0.087500006,-0.1875,1.0
0.91250002,0.087500006,-0.1875,1.0
0.9375,0.087500006,-0.1875,1.0
0.96249998,0.087500006,-0.1875,1.0
0.98750001,0.087500006,-0.1875,1.0
1.0125,0.087500006,-0.1875,1.0
1.0374999,0.087500006,-0.1875,1.0
1.0625,0.087500006,-0.1875,1.0
1.0875001,0.087500006,-0.1875,1.0
1.1125,0.087500006,-0.1875,1.0
1.1375,0.087500006,-0.1875,1.0
1.1624999,0.087500006,-0.1875,1.0
1.1875,0.087500006,-0.1875,1.0
1.2125001,0.087500006,-0.1875,1.0
1.2375,0.087500006,-0.1875,1.0
1.2625,0.087500006,-0.1875,1.0
1.2874999,0.087500006,-0.1875,1.0
1.3125,0.087500006,-0.1875,1.0
1.3375001,0.087500006,-0.1875,1.0
1.3625,0.087500006,-0.1875,1.0
1.3875,0.087500006,-0.1875,1.0
1.4124999,0.087500006,-0.1875,1.0
1.4375,0.087500006,-0.1875,1.0
1.4625001,0.087500006,-0.1875,1.0
0.63749999,0.1125,-0.1875,1.0
0.73750001,0.1125,-0.1875,1.0
0.76249999,0.1125,-0.1875,1.0
0.78750002,0.1125,-0.1875,1.0
0.8125,0.1125,-0.1875,1.0
0.83749998,0.1125,-0.1875,1.0
0.86250001,0.1125,-0.1875,1.0
0.88749999,0.1125,-0.1875,1.0
0.91250002,0.1125,-0.1875,1.0
0.9375,0.1125,-0.1875,1.0
0.96249998,0.1125,-0.1875,1.0
0.98750001,0.1125,-0.1875,1.0
1.0125,0.1125,-0.1875,1.0
1.0374999,0.1125,-0.1875,1.0
1.0625,0.1125,-0.1875,1.0
1.0875001,0.1125,-0.1875,1.0
1.1125,0.1125,-0.1875,1.0
1.1375,0.1125,-0.1875,1.0
1.1624999,0.1125,-0.1875,1.0
1.1875,0.1125,-0.1875,1.0
1.2125001,0.1125,-0.1875,1.0
1.2375,0.1125,-0.1875,1.0
1.2625,0.1125,-0.1875,1.0
1.2874999,0.1125,-0.1875,1.0
1.3125,0.1125,-0.1875,1.0
1.3375001,0.1125,-0.1875,1.0
1.3625,0.1125,-0.1875,1.0
1.3875,0.1125,-0.1875,1.0
1.4124999,0.1125,-0.1875,1.0
1.4375,0.1125,-0.1875,1.0
1.4625001,0.1125,-0.1875,1.0
1.4875,0.1125,-0.1875,1.0
1.5125,0.1125,-0.1875,1.0
0.73750001,0.1375,-0.1875,1.0
0.76249999,0.1375,-0.1875,1.0
0.78750002,0.1375,-0.1875,1.0
0.8125,0.1375,-0.1875,1.0
0.83749998,0.1375,-0.1875,1.0
0.86250001,0.1375,-0.1875,1.0
0.88749999,0.1375,-0.1875,1.0
0.91250002,0.1375,-0.1875,1.0
0.9375,0.1375,-0.1875,1.0
0.96249998,0.1375,-0.1875,1.0
0.98750001,0.1375,-0.1875,1.0
1.0125,0.1375,-0.1875,1.0
1.0374999,0.1375,-0.1875,1.0
1.0625,0.1375,-0.1875,1.0
1.0875001,0.1375,-0.1875,1.0
1.1125,0.1375,-0.1875,1.0
1.1375,0.1375,-0.1875,1.0
1.1624999,0.1375,-0.1875,1.0
1.1875,0.1375,-0.1875,1.0
1.2125001,0.1375,-0.1875,1.0
1.2375,0.1375,-0.1875,1.0
1.2625,0.1375,-0.1875,1.0
1.2874999,0.1375,-0.1875,1.0
1.3125,0.1375,-0.1875,1.0
1.3375001,0.1375,-0.1875,1.0
1.3625,0.1375,-0.1875,1.0
1.3875,0.1375,-0.1875,1.0
1.4124999,0.1375,-0.1875,1.0
1.4375,0.1375,-0.1875,1.0
1.4625001,0.1375,-0.1875,1.0
1.4875,0.1375,-0.1875,1.0
0.73750001,0.16249999,-0.1875,1.0
0.76249999,0.16249999,-0.1875,1.0
0.78750002,0.16249999,-0.1875,1.0
0.8125,0.16249999,-0.1875,1.0
0.83749998,0.16249999,-0.1875,1.0
0.86250001,0.16249999,-0.1875,1.0
0.88749999,0.16249999,-0.1875,1.0
0.91250002,0.16249999,-0.1875,1.0
0.9375,0.16249999,-0.1875,1.0
0.96249998,0.16249999,-0.1875,1.0
0.98750001,0.16249999,-0.1875,1.0
1.0125,0.16249999,-0.1875,1.0
1.0374999,0.16249999,-0.1875,1.0
1.0625,0.16249999,-0.1875,1.0
1.0875001,0.16249999,-0.1875,1.0
1.1125,0.16249999,-0.1875,1.0
1.1375,0.16249999,-0.1875,1.0
1.1624999,0.16249999,-0.1875,1.0
1.1875,0.16249999,-0.1875,1.0
1.2125001,0.16249999,-0.1875,1.0
1.2375,0.16249999,-0.1875,1.0
1.2625,0.16249999,-0.1875,1.0
1.2874999,0.16249999,-0.1875,1.0
1.3125,0.16249999,-0.1875,1.0
1.3375001,0.16249999,-0.1875,1.0
1.3625,0.16249999,-0.1875,1.0
1.3875,0.16249999,-0.1875,1.0
1.4124999,0.16249999,-0.1875,1.0
1.4375,0.16249999,-0.1875,1.0
0.78750002,0.1875,-0.1875,1.0
0.8125,0.1875,-0.1875,1.0
0.83749998,0.1875,-0.1875,1.0
0.86250001,0.1875,-0.1875,1.0
0.88749999,0.1875,-0.1875,1.0
0.91250002,0.1875,-0.1875,1.0
0.9375,0.1875,-0.1875,1.0
0.96249998,0.1875,-0.1875,1.0
0.98750001,0.1875,-0.1875,1.0
1.0125,0.1875,-0.1875,1.0
1.0374999,0.1875,-0.1875,1.0
1.0625,0.1875,-0.1875,1.0
1.0875001,0.1875,-0.1875,1.0
1.1125,0.1875,-0.1875,1.0
1.1375,0.1875,-0.1875,1.0
1.1624999,0.1875,-0.1875,1.0
1.1875,0.1875,-0.1875,1.0
1.2125001,0.1875,-0.1875,1.0
1.2375,0.1875,-0.1875,1.0
1.2625,0.1875,-0.1875,1.0
1.2874999,0.1875,-0.1875,1.0
1.3125,0.1875,-0.1875,1.0
1.3375001,0.1875,-0.1875,1.0
1.3625,0.1875,-0.1875,1.0
0.8125,0.21250001,-0.1875,1.0
0.83749998,0.21250001,-0.1875,1.0
0.86250001,0.21250001,-0.1875,1.0
0.88749999,0.21250001,-0.1875,1.0
0.91250002,0.21250001,-0.1875,1.0
0.9375,0.21250001,-0.1875,1.0
0.96249998,0.21250001,-0.1875,1.0
0.98750001,0.21250001,-0.1875,1.0
1.0125,0.21250001,-0.1875,1.0
1.0374999,0.21250001,-0.1875,1.0
1.0625,0.21250001,-0.1875,1.0
1.0875001,0.21250001,-0.1875,1.0
1.1125,0.21250001,-0.1875,1.0
1.1375,0.21250001,-0.1875,1.0
1.1624999,0.21250001,-0.1875,1.0
1.1875,0.21250001,-0.1875,1.0
1.2125001,0.21250001,-0.1875,1.0
1.2375,0.21250001,-0.1875,1.0
0.96249998,0.2375,-0.1875,1.0
0.98750001,0.2375,-0.1875,1.0
1.0125,0.2375,-0.1875,1.0
1.0374999,0.2375,-0.1875,1.0
1.0625,0.2375,-0.1875,1.0
1.0875001,0.2375,-0.1875,1.0
1.1125,0.2375,-0.1875,1.0
1.1375,0.2375,-0.1875,1.0
1.1624999,0.2375,-0.1875,1.0
1.1875,0.2375,-0.1875,1.0
1.0125,0.26249999,-0.1875,1.0
1.0374999,0.26249999,-0.1875,1.0
